X,Y,OGF_ID,MOH_SERVICE_PROVIDER_IDENT,ENGLISH_NAME,ADDRESS_LINE_1,ADDRESS_LINE_2,COMMUNITY,POSTAL_CODE,OBJECTID
-94.4908351,49.7662052,321016346,90948,Tilley's Pharmasave,201 Main Street South,,Kenora,P9N1T3,2395153
-94.5217392,49.7656606,321013148,4696911,The Medicine Shoppe Phrmc 360,700 Lakeview Drive,,Kenora,P9N3P7,2346913
-94.4907968,49.7650284,321016740,9434953,Shoppers Drug Mart #1355,305 Main Street South,,Kenora,P9N1T4,2327457
-94.5565954,49.7612231,321012480,3380558,Keewatin Pharmacy,912 Ottawa Street,,Keewatin,P0X1C0,2326049
-94.4739854,49.7576377,321015237,7762110,Wal-Mart Pharmacy,24 Miikana Way Unit 1,,Kenora,P9N4J1,2301409
-86.9484837,49.7240275,321014107,6210833,Rexall #6928,305 Main Street,,Geraldton,P0T1M0,2286465
-83.7242703,49.6969589,321015927,8624919,Pharmacie Novena,1509 Highway 11 West,,Hearst,P0L1N0,2407377
-82.4296156,49.4256891,321015476,8089677,Rexall,142 Progress Crescent,Unit B,Kapuskasing,P5N3H6,2264705
-82.4748146,49.4221691,321011511,112915,Wal-Mart Pharmacy,350 Government Road,,Kapuskasing,P5N2X7,2396849
-82.41655,49.4195706,321012658,3766437,Loblaw Pharmacy,55 Brunetville Road,,Kapuskasing,P5N2E8,2439937
-82.4181385,49.4193101,321016687,9383954,Shoppers Drug Mart #655,25 Brunetville Road,,Kapuskasing,P5N2E9,2403601
-91.65998,49.4165919,321013187,4768273,Ignace Medical Pharmacy,118-1100 Main Street,,Ignace,P0T1T0,2376945
-81.6308711,49.2806842,321013377,5103014,Smooth Rock Falls Pharmacy,133 5th Street,,Smooth Rock Falls,P0L2B0,2353297
-84.7745903,49.2101687,321014220,6378190,Hornepayne Pharmacy,333 Front Street,Box 1508,Hornepayne,P0M1Z0,2330913
-85.8280718,49.126376,321016724,9418515,Manitouwadge Pharmacy,2 Huron Walk,Hallmarket Square,Manitouwadge,P0T2C0,2363089
-81.0312494,49.0652042,321015288,783557,Medi Mart Pharmacy,27 Second Avenue,,Cochrane,P0L1C0,2383777
-81.0263179,49.0617626,321014576,6903112,Cochrane Pharmacy,134-A Third Street,,Cochrane,P0L1C0,2419153
-81.0254855,49.0614352,321012541,3512274,Wallace Drug Store,109-6 Avenue,Po Box 1810,Cochrane,P0L1C0,2348257
-88.2630496,49.0120497,321014113,6220877,Rexall #6936,54 Front Street,,Nipigon,P0T2J0,2374801
-87.2664883,48.807917,321017049,96700,Schreiber Pharmacy,301 Scotia Street,Po Box 69,Schreiber,P0T2S0,2330081
-87.1009351,48.783179,321017158,9738670,Stewart Pharmacy,31 Simcoe Plaza,,Terrace Bay,P0T2W0,2399521
-80.685085,48.7595076,321014381,6619590,R.X Drug Mart,201 Ambridge Drive,,Iroquis Falls,P0K1G0,2444289
-80.683518,48.759317,321017009,9646993,Family Care Pharmacy,125 Ambridge Drive,,Iroquois Falls,P0K1G0,2259313
-91.6243531,48.7568684,321014167,6295751,Rexall #8167,123 Marks Street,,Atikokan,P0T1C0,2411521
-94.5681127,48.7197925,321017056,9675274,Rainy River Drugs,212 Fourth Street,,Rainy River,P0W1L0,2435841
-86.3834462,48.7183465,321017013,9649231,Rida's Pharmacy,6 Stevens Avenue,Po Box 2070,Marathon,P0T2E0,2315441
-86.3692118,48.7167187,321017137,9728716,Marathon Drug Associates,2 Hemlo Drive,Po Box 1990,Marathon,P0T2E0,2298225
-93.3596606,48.6302099,321012095,2436750,Rainy Lake First Ntns Phmcy Lt,1460 Idywild Drive,,Fort Frances,P9A3M7,2419185
-93.8366095,48.6295665,321012787,4065558,Emo Drugs,80 Front Street,,Emo,P0W1E0,2355425
-93.3989349,48.61027,321016886,9561235,Shoppers Drug Mart #5577,140 Scott Street,,Fort Frances,P9A1G6,2396513
-93.3933333,48.6096395,321016220,8965792,Shoppers Drug Mart #1392,375 Scott Street,,Fort Frances,P9A1H1,2281809
-93.3913877,48.6096227,321012772,4018191,Safeway Pharmacy #4809/674,417 Scott Street,,Fort Frances,P9A1H3,2376097
-93.4339068,48.6088029,321014528,6828196,Wal-Mart Pharmacy,1250 King'South Highway,,Fort Frances,P9A2X6,2426561
-93.393097,48.6081498,321016905,9575113,Shoppers Drug Mart #5576,301 Victoria Avenue,,Fort Frances,P9A2C1,2354369
-80.4650543,48.5353923,321012351,3103439,Willis Pharmacy,414 Fifth Avenue,Po Box 607,Matheson,P0K1N0,2447281
-81.3151334,48.4782273,321011958,208616,Loblaw Pharmacy #4087,654 Algonquin Boulevard East,,Timmins,P4N8R4,2420033
-81.3352211,48.4778614,321012608,3651916,Mountjoy Pharmacentre,D-80 Mountjoy Street North,,Timmins,P4N4V7,2385137
-81.2113999,48.4777577,321015133,7603792,Mcdonald's Pharmacy,67 Bruce Avenue,,South Porcupine,P0N1H0,2444577
-81.3279556,48.476765,321016322,9071755,Pharmaright Pharmacy,205-38 Pine Street North,,Timmins,P4N6K6,2283089
-81.3143002,48.4761964,321012849,41662,Shoppers Drug Mart #1347,5-681 Algonquin Boulevard,,Timmins,P4N8S6,2408481
-81.3416593,48.4757563,321014360,6585554,Shoppers Drug Mart #671,227 Algonquin Boulevard West,,Timmins,P4N2R8,2295153
-81.3298791,48.4755536,321013645,5534353,Health Care Guardian Pharmacy,27 Cedar Street South,,Timmins,P4N2G5,2336385
-81.393501,48.4749682,321015576,82118,Wal-Mart Pharmacy,1870 Riverside Drive,,Timmins,P4N7C3,2335665
-81.3819562,48.473744,321016611,9322958,Timmins Pharmacy,57-1500 Riverside Drive,,Timmins,P4R1A1,2385905
-81.3284211,48.4734506,321014088,6187798,Rexall #6904,119 Pine Street South,,Timmins,P4N2K3,2292257
-89.1832221,48.4691103,321016353,9104033,Shoppers Drug Mart #1534,320 Arundel Street,,Thunder Bay,P7A1L3,2424513
-89.2532183,48.4527229,321012366,3131275,Wal-Mart Pharmacy #1166,1020 Dawson Road,,Thunder Bay,P7B5V1,2352849
-89.2553475,48.4512535,321015082,7542992,Dawson Heights Pharmacy,109-109 Regina Avenue,,Thunder Bay,P7B5B4,2446737
-89.2546135,48.4505463,321012774,4018832,Safeway Pharmacy #4812/682,1015 Dawson Road,,Thunder Bay,P7B5E3,2332673
-89.2334351,48.4487651,321013362,5080299,Metro Pharmacy #551,640 River Street,,Thunder Bay,P7A3S4,2306961
-89.2334351,48.4487651,321016379,9123478,Shoppers Drug Mart #678,640 River Street,,Thunder Bay,P7A3S4,2408673
-89.2501113,48.4468499,321015010,7458510,Shoppers Drug Mart #1525,901 Red River Road,,Thunder Bay,P7B1K3,2449745
-89.2164689,48.4419383,321012878,4228437,Shoppers Simply Pharmacy 681,194 North Court Street,,Thunder Bay,P7A4V7,2264833
-89.2195529,48.4386855,321012773,4018510,Freshco Pharmacy #4293,70 North Court Street,,Thunder Bay,P7A4T8,2396561
-89.2159988,48.4383472,321013781,5750038,Elevate Medical Pharmacy,100-106 Cumberland Street North,,Thunder Bay,P7A4M2,2338401
-89.2196946,48.4377598,321013259,4921552,Court Street Pharmacy,69 Court Street North,,Thunder Bay,P7A4T7,2332033
-89.2291496,48.4318495,321015892,8574376,Janzen's Pharmacy,296 Bay Street,,Thunder Bay,P7B1R8,2297505
-89.2381182,48.4290304,321017265,9810190,Oak Medical Arts Academy Phcy,389 Oliver Road,,Thunder Bay,P7B2G1,2276257
-89.2345584,48.4281744,321015384,7980875,Shoppers Drug Mart #1337,300 Memorial Avenue,,Thunder Bay,P7B3Y2,2293105
-89.273821,48.4236672,321012860,4186311,River Terrace Medicalpharmacy,1260 Golf Links Road,,Thunder Bay,P7B0A1,2349521
-89.2717838,48.4214182,321013452,5212110,Thunder Bay Care Pharmacy,103-1040 Oliver Road,,Thunder Bay,P7B7A5,2382017
-89.2397311,48.4128394,321012523,348831,Wal-Mart Pharmacy,777 Memorial Avenue,,Thunder Bay,P7B3Z7,2286257
-89.249664,48.4088092,321011545,1201577,Loblaw Pharmacy 1504,971 Carrick Street,,Thunder Bay,P7B6L9,2277217
-89.253842,48.408308,321015854,8538834,Carerx Thunder Bay,9-977 Alloy Drive,,Thunder Bay,P7B5Z8,2362369
-89.2588891,48.4016164,321015666,8323272,Advantage Pharmacy,1165 Barton Street,,Thunder Bay,P7B5N3,2386545
-89.6136137,48.4012977,321016398,9140191,Evergreen Pharmacy,B-4785 Highway 11 & 17,,Kakabeka Falls,P0T1W0,2267217
-89.2465141,48.400059,321011935,200598,Shoppers Drug Mart #680,1186 Memorial Avenue,,Thunder Bay,P7B5K5,2385329
-89.2768763,48.3941773,321012564,3562193,Janzen's Pharmacy,504 North Edward Street,,Thunder Bay,P7C4P9,2407313
-89.2794091,48.3930443,321016484,9213415,Shoppers Drug Mart #679,425 North Edward Street,,Thunder Bay,P7C4P7,2372481
-89.2691177,48.3880399,321014338,6561357,Janzen's Pharmacy,300 Lillie Street North,,Thunder Bay,P7C4Y7,2288993
-89.2502996,48.385449,321016922,9586192,Rx Point Pharmacy,906-137 Mckeller Street North,,Thunder Bay,P7C3Y9,2424529
-89.2449865,48.3842436,321016129,8863312,Fort William Medical Pharmacy,421 Victoria Avenue East,,Thunder Bay,P7C1A6,2379905
-89.2516047,48.3834214,321012662,3772876,White Cedar First Nations Phcy,125 Vickers Street South,,Thunder Bay,P7E1J2,2413217
-89.2474662,48.3826293,321013559,5386637,Syndicate Pharmacy,2-140 Syndicate Avenue South,,Thunder Bay,P7E1C6,2294273
-89.3082014,48.3823049,321012528,3491475,Wal-Mart Pharmacy,1101 Arthur Street West,,Thunder Bay,P7E5S2,2266257
-89.2544976,48.381193,321014169,6296910,Rexall #8170,100-1265 Arthur Street East,,Thunder Bay,P7E6E7,2389185
-89.2790605,48.381143,321012776,4021070,Safeway Pharmacy #4811/681,115 West Arthur Street,,Thunder Bay,P7E5P7,2414241
-89.2506741,48.3804928,321012199,2734358,Shoppers Drug Mart #677,900 Arthur Street East,,Thunder Bay,P7E5M8,2399329
-89.2960792,48.3801041,321014477,6754513,Oak Medical Pharmacy,620 Arthur Street West,,Thunder Bay,P7E5R8,2313745
-89.2933198,48.3798795,321016295,9052231,Shoppers Drug Mart #1312,572 West Arthur Street,,Thunder Bay,P7E5R7,2283345
-89.2800589,48.3652302,321012057,2335752,Janzen's Pharmacy,129 West Frederica Street,,Thunder Bay,P7E3V8,2434049
-89.2813372,48.3652009,321012514,3467153,Shoppers Drug Mart 1536,151 Frederica Street West,,Thunder Bay,P7E3V8,2375137
-89.4143379,48.3620117,321011503,110864,Evergreen Pharmacy,A-150 King George'South Park Drive,,Rosslyn,P7K0B8,2307105
-80.0300222,48.1543482,321012225,2798672,Bdr Drugmart,15 Station RoadNorth,,Kirkland Lake,P2N3J1,2332177
-80.0360384,48.1502688,321012499,3415316,Kirkland Pharmacy,38 Government Road West,,Kirkland Lake,P2N2E2,2296449
-80.04249,48.1456,321011626,1295976,Loblaw Pharmacy #4093,15 Mcchesney Avenue,,Kirkland Lake,P2N3R9,2422561
-79.7120117,48.1001855,321015643,8296391,Larder Lake Pharmacy,15B Godfrey Street,Po Box 370,Larder Lake,P0K1L0,2269873
-84.7706184,47.994667,321015498,8112071,Wawa Pharmacy,1-63 Broadway Avenue,,Wawa,P0S1K0,2280241
-84.7711107,47.99298,321016157,889550,Fenlon's Pharmacy,88 Broadway Avenue,,Wawa,P0S1K0,2407425
-83.4013675,47.8432834,321013275,4952279,Model Guardian Drug Store Ltd.,32 Birch Street East,,Chapleau,P0M1K0,2340369
-79.8734163,47.8251105,321015887,8568999,Marshall's Pharmasave,43 Third Street,,Englehart,P0J1H0,2396593
-79.8792275,47.822661,321014383,6622158,Rx Drug Mart,63 5th Street,,Englehart,P0J1H0,2449793
-79.8248328,47.7110837,321013761,5714836,Earlton Pharmacy,14 Tenth Street,,Earlton,P0J1E0,2363937
-79.6719124,47.5324261,321012895,425150,Wal-Mart Pharmacy,133 Highway #11 & Grant Road,,New Liskeard,P0J1P0,2400401
-79.6722425,47.5242536,321017019,9652556,Shoppers Drug Mart #4866,151-883303 Highway 65 East,Units 15&16,New Liskeard,P0J1P0,2296081
-79.6832201,47.5095587,321013549,5375079,Loblaw Pharmacy #4102,55 Scott Street,,New Liskeard,P0J1P0,2335537
-79.6718891,47.5089297,321016451,9181413,Northern Drugs,14 Armstrong Street North,,New Liskeard,P0J1P0,2290257
-79.6817673,47.5085609,321011874,1839014,Findlay's Drugstore,247 Whitewood Avenue,,New Liskeard,P0J1P0,2423809
-79.6337395,47.4486744,321013543,5366034,Smallman Pharmacy,368 Main Street,Po Box 129,Haileybury,P0J1K0,2340449
-79.6861982,47.3961759,321014700,7048919,Cobalt Pharmacy,24 Prospect Avenue,,Cobalt,P0J1C0,2289249
-79.7893538,47.0651123,321012216,27660,Temagami Pharmasave,6729 11 Highway North Gd,,Temagami,P0H2H0,2258369
-84.3477984,46.7216815,321016710,9403558,Pine Shores Drug Mart,2771 Highway 17 North,,Goulais River,P0S1E0,2326065
-80.9273709,46.7098167,321016327,9075877,Capreol Rx,21 Young Street,,Capreol,P0M1H0,2437153
-80.9869779,46.6522989,321017140,9730954,Hanmerrx,1-4558 Elmview Drive,,Hanmer,P3P1P6,2345409
-81.3903065,46.6392143,321011535,1179799,Levack IDA Pharmacy,2 First Avenue,,Levack,P0M2C0,2343521
-81.334861,46.5869257,321015879,8560078,Dowling Pharmacy,30 Main Street West,Po Box 209,Dowling,P0M1R0,2447105
-81.1960841,46.5827052,321017129,9723150,Chelmsford Pharmacy,46 Main Street West,Po Box 310,Chelmsford,P0M1L0,2340209
-81.191236,46.5699193,321017125,9719959,Chelmsford IDA Pharmacy,3672 Highway 144 Rural Route 4,,Chelmsford,P0M1L0,2393889
-81.1838664,46.5693996,321012374,3154115,Loblaw Pharmacy,4764-17 Regional Road 15,,Chelmsford,P0M1L0,2423313
-81.1171697,46.5518328,321014126,6240070,Rexall #6954,93 Notre Dame Street West,,Azilda,P0M1B0,2445521
-81.1144472,46.5511967,321016613,9325713,Shannon's Community Pharmacy,3-9 Notre Dame Street East,,Azilda,P0M1B0,2261089
-80.8755395,46.549216,321014581,6907813,Nickel Centre Pharmacy,10-3098 Falconbridge Highway,,Garson,P3L1P5,2426737
-84.3203162,46.5486977,321013619,5493557,Pharmasave Adel Pharmacy,12-773 Great Northern Road,,Sault Ste. Marie,P6B0B7,2285745
-84.3111809,46.5484172,321014270,6458834,Iccare Pharmacy,F2005-750 Great Northern Road,,Sault Ste Marie,P6B0A8,2345953
-84.3149958,46.5413278,321013875,5907557,Wal-Mart Pharmacy,446 Great Northern Road,,Sault Ste Marie,P6B4Z9,2349153
-84.3170151,46.5396823,321015580,8214470,Pharmaright Pharmacy,688 Second Line 3,,Sault Ste Marie,P6B4K3,2363569
-84.368753,46.5379987,321014501,6793357,Shoppers Drug Mart # 929,364 Second Line West,,Sault Ste Marie,P6C2J7,2399745
-84.3659706,46.5377216,321015520,81422,The Medicine Shoppe,316 Second Line West,,Sault Ste Marie,P6C2J5,2270289
-84.3830942,46.5374812,321012857,4179917,West End Pharmacy,658 Second Line West Unit 3,,Sault Ste Marie,P6C2K9,2433553
-84.3509514,46.5373509,321014131,6245716,Rexall #6967,13 Second Line West,,Sault Ste. Marie,P6C2J1,2342385
-84.3638247,46.5373112,321015229,7753031,Market Mall Pharmacy,275 2nd Line West,,Sault Ste Marie,P6C2T4,2293121
-84.3222826,46.5352052,321012054,23236,Metro Pharmacy #520,248 Northern Avenue,,Sault Ste Marie,P6B4H6,2354689
-84.3467047,46.5258212,321011942,2033258,Merrett's Pharmacy Ltd,314 Wellington Street West,,Sault Ste Marie,P6A1J1,2425729
-84.3195047,46.5257512,321016050,8776032,Medicine Shoppe #233,59 Great Northern Road,,Sault Ste Marie,P6B4Y7,2289137
-84.3168072,46.5256843,321012631,3702112,Loblaw Pharmacy #4101,44-50 Great Northern Road,,Sault Ste Marie,P6B4Y5,2279841
-84.3176829,46.5248807,321014500,6793035,Shoppers Drug Mart #669,44 Great Northern Road,,Sault Ste Marie,P6B4Y5,2419729
-84.3075847,46.5233212,321013310,4990157,Food Basics Pharmacy #505,701 Pine Street,,Sault Ste. Marie,P6B3G2,2268753
-84.3085387,46.5232682,321012342,3087956,Central Drug Mart,8-701 Pine Street,,Sault Ste Marie,P6B3G2,2284273
-80.9599375,46.5229605,321013633,5512910,Metro Pharmacy #539,900 Lasalle Boulevard,,Sudbury,P3A5W8,2299793
-80.9627164,46.5226466,321014114,6221199,Rexall #6939,848 Lasalle Boulevard,,Sudbury,P3A1X5,2335089
-80.9411417,46.5225196,321015194,7690956,Good Guys Pharmacy,1536A Lasalle Boulevard,,Sudbury,P3A1Y7,2357809
-80.9491293,46.5223668,321013785,5757834,Health Care Pharmacy,1276 Lasalle Boulevard,,Sudbury,P3A1Y8,2300993
-80.9539065,46.5222771,321016814,9522634,Remedy's Rx,103-1122 Lasalle Boulevard,,Sudbury,P3A1Y4,2446465
-84.3160147,46.5218812,321011941,2031973,Group Health Centre Pharmacy,240 Mcnabb Street,,Sault Ste Marie,P6B1Y5,2301697
-80.9312656,46.5217975,321012796,4085714,Lasalle Clinic Pharmacy,1813 Lasalle Boulevard,,Sudbury,P3A2A3,2355537
-84.2745848,46.5213912,321015223,7745238,Wellington Square Drug Mart,625 Trunk Road,,Sault Ste Marie,P6A3T1,2329841
-80.9281359,46.5212979,321014762,7127753,Medisystem Pharmacy #6031,7-1899 Lasalle Boulevard,,Sudbury,P3A2A3,2432081
-80.9434514,46.5208726,321013720,5650191,Vitaheal Pharmacy,1100 Barrydowne Road,,Sudbury,P3A3V3,2261073
-80.9483024,46.5205905,321011485,107716,Wal-Mart Pharmacy,1349 Lasalle Boulevard,,Sudbury,P3A1Z2,2289697
-80.9483024,46.5205905,321014524,6824751,Shoppers Drug Mart # 670,101-1349 Lasalle Boulevard,,Sudbury,P3A1Z2,2312369
-80.9413276,46.5202676,321012011,2219879,Loblaw Pharmacy #2803,1485 Lasalle Boulevard,,Sudbury,P3A5H7,2316481
-84.2864765,46.5159168,321013563,5395798,Apothecarium Rasaiah's Pharmcy,341 Trunk Road,,Sault Ste Marie,P6A3S9,2301169
-84.3354933,46.5135976,321015711,8375117,Queenstown Drug Mart,302 Queen Street East,,Sault Ste Marie,P6A1Z1,2263617
-84.290996,46.5133591,321016316,9066636,Urban Square Drug Mart,197 Trunk Road,,Sault Ste Marie,P6A6X8,2408209
-84.2960488,46.5115962,321014002,6083472,Rexall,129 Trunk Road,,Sault Ste Marie,P6A3S4,2271601
-84.2974426,46.5110641,321015698,8362318,East End Pharmasave,150 Churchill Boulevard,,Sault Ste Marie,P6A3Z9,2310033
-84.2974426,46.5110641,321012801,4095339,Metro Pharmacy #545,150 Churchill Street,,Sault Ste Marie,P6A3Z9,2410289
-84.3310047,46.5101512,321013033,4494032,Canadian Add. Treatm. Phcy. Lp,500 Queen Street East,,Sault Ste. Marie,P6A2A1,2277153
-84.3255547,46.5090912,321016514,9240270,East Street Drug Mart,170 East Street,,Sault Ste Marie,P6A3C6,2276545
-80.9453451,46.5081056,321013995,6074311,Rexall,555 Barrydown Road,,Sudbury,P3A3T4,2335265
-84.3263196,46.5069319,321014642,6985676,Medicine Shoppe,102-765 Queen Street East,,Sault Ste Marie,P6A2A8,2281473
-80.9454381,46.5058778,321017110,9709390,Ourx Kingsway Pharmacy,4-1400 Kingsway,,Sudbury,P3B0A3,2276321
-80.946251,46.5033348,321014239,6409317,Costco Pharmacy #257,1465 Kingsway,,Sudbury,P3B0A5,2358289
-81.0071554,46.5023495,321012402,3218850,Shaw's Pharmacy,401 Frood Road,,Sudbury,P3C4Z7,2341857
-80.9864635,46.5020596,321012332,3055017,Bradley Pharmacy Limited,430 Notre Dame Avenue,,Sudbury,P3C5K7,2423617
-80.9605459,46.5016179,321011927,1982,Jonathan's Kingsway Pharmacy,1102 Kingsway,,Sudbury,P3B2E5,2433665
-80.9635361,46.4992762,321016771,9478353,New Bancroft Pharmacy,893 Bancroft Drive,,Sudbury,P3B1P8,2372705
-80.9927275,46.4940746,321011961,20943,North Care Medical Pharmacy,275-40 Elm Street,,Sudbury,P3C1S8,2397745
-80.8469047,46.4940353,321017124,9719753,Coniston Pharmacy,24 Amanda Street,Po Box 370,Coniston,P0M1M0,2424721
-80.9967321,46.4938553,321016097,8827594,Elgin Street Pharmacy,25 Elgin Street,,Sudbury,P3C5B3,2362577
-80.9971124,46.4933929,321014374,6610517,Shoppers Drug Mart #1195,86 Elm Street,,Sudbury,P3C1T2,2281345
-80.9921097,46.4924477,321013124,4656438,Vitaheal Pharmacy,128 Cedar Street,,Sudbury,P3E1B4,2388129
-80.9923467,46.4921187,321014173,6300111,Rexall #8182,117B Cedar Street,,Sudbury,P3E1A9,2286753
-80.9922115,46.4919065,321014833,7217558,Hsn Rx Cedar Street,127 Cedar Street,,Sudbury,P3E1B1,2336817
-80.9512948,46.4913354,321011877,18625,Lakeside Pharmacy Inc,1485 Bancroft Drive,,Sudbury,P3B1R6,2278193
-81.0010992,46.4907092,321013304,4984994,Loblaw Pharmacy,82 Lorne Street,,Sudbury,P3C4N8,2275873
-80.9353607,46.4902469,321014106,6209676,Rexall #6927,1975 Bancroft Drive,,Sudbury,P3B1T1,2435745
-80.8469034,46.4893644,321017016,9651913,New Coniston Pharmacy,35 2nd Avenue,Po Box 29,Coniston,P0M1M0,2350353
-81.0068839,46.4875251,321013473,5245790,Herman's IDA,240 Regent Street,,Sudbury,P3C4C5,2400881
-81.0064492,46.4822056,321016252,9006470,Shoppers Drug Mart #1540,112-359 Riverside Drive,,Sudbury,P3E1H5,2258945
-81.0175066,46.4779376,321015232,7754833,Seasons Pharmacy And Culinaria,815 Lorne Street,,Sudbury,P3C4R5,2374561
-81.0675862,46.4779349,321014839,7224933,Wilson Pharmacy,10 Serpentine Street,,Coppercliff,P0M1N0,2327217
-80.9966194,46.4679147,321013050,4531279,Hsnrx,41 Ramsey Lake Road,,Sudbury,P3E5J1,2377713
-81.0302876,46.4639894,321017123,9717513,Carerx Sudbury,1-1351 G Kelly Lake Road,,Sudbury,P3E5P5,2407809
-81.0065568,46.457025,321017249,9800076,Regent St. Pharmacy,1650 Regent Street,,Sudbury,P3E3Z6,2272209
-81.0019178,46.4541666,321015982,8692872,Pharmaright Pharmacy,1865E Paris Street,,Sudbury,P3E3C5,2286001
-81.0030762,46.4529132,321012999,4435276,Shoppers Drug Mart #1365,1935 Paris Street,,Sudbury,P3E3C6,2280273
-81.006308,46.4524612,321013115,4637398,Food Basics Pharmacy #538,1875 Regent Street South,,Sudbury,P3E3Z7,2333985
-81.0048806,46.4515262,321014096,6200595,Rexall #6915,2009 Long Lake Road,,Sudbury,P3E6C3,2385441
-81.0048026,46.4513307,321016245,8995279,Shoppers Drug Mart #653,2015 Long Lake Road,,Sudbury,P3E4M8,2286097
-80.9963286,46.4510754,321011595,125901,Thompson Pharmacy,12-2120 Regent Street,,Sudbury,P3E3Z9,2306337
-81.0021614,46.4405539,321011913,1949832,Wal-Mart Pharmacy,2416 Long Lake Road,,Sudbury,P3E5H5,2265553
-81.1461672,46.4371997,321015462,8071757,Lively Pharmacy,605 Main Street,,Lively,P3Y1M9,2393969
-80.9459771,46.4334841,321015906,8586434,Valley Prescription Centre Ltd,2-2956 Highway 69 North,,Val Caron,P3N1E3,2262321
-80.945971,46.4334834,321014124,6238154,Rexall #6950,3080 Highway 69 North,,Val Caron,P3N1N7,2425761
-80.9459587,46.4334821,321014510,6807431,Val-Est Pharmacy,1-3179 Highway 69 North,,Val Caron,P3N1S5,2277937
-80.9033987,46.4325691,321016718,9413075,Shoppers Drug Mart #1181,5118 Highway 69 North,,Hanmer,P3P1B9,2331105
-80.9035648,46.4322738,321014534,6838997,Valley Plaza Pharmacy,5085 Highway 69 North Po Box 3040,,Hanmer,P3P1J6,2272577
-80.9035648,46.4322738,321011459,1025991,Valley Plaza Phcy Pharmasave,5085 Highway 69 North,Hanmer Valley Shopping Centre,Hanmer,P3P1P7,2404273
-80.903409,46.4322219,321012192,27232,Loblaw Pharmacy#4086,5200 Highway 69 North,,Hanmer,P3P1Z3,2265617
-81.1416461,46.4226948,321017131,9723819,Walden Family Drugstore,Regional Road 24,,Lively,P3Y1J1,2360753
-81.1420561,46.4211441,321014646,699079,Loblaw Pharmacy #4090,65 Regional Road 24,,Lively,P3Y1C3,2265601
-80.1249028,46.4102196,321016751,9450195,Pharmacie Nipissing Pharmacy,26 Principale Street East,Po Box 130,Verner,P0H2M0,2446129
-82.6497967,46.3867392,321014378,6617556,Shoppers Drug Mart #667,220 Ontario Avenue,,Elliot Lake,P5A1Y5,2314561
-82.648673,46.3864762,321013589,54354,Freitag's Pharmacy,36 Prince Edward Walk,,Elliot Lake,P5A1Z8,2260865
-82.649416,46.3858089,321014104,6206358,Rexall #6926,31 Nova Scotia Walk,,Elliot Lake,P5A1Y9,2345361
-82.6436469,46.38312,321015614,8257995,Angus Pharmacy,14 Brunswick Walk,,Elliot Lake,P5A2A8,2303249
-82.6337698,46.381128,321011490,1081554,Drugstore Pharmacy #4323,177 Highway 108 North,,Elliot Lake,P5A2S9,2275969
-82.65982,46.3807954,321014929,7336395,Elliot Lake Hlt.Ctr.Pharmach.,267 Hillside Drive,,Elliot Lake,P5A1N7,2328689
-79.9293442,46.366919,321012106,2499273,Pharmacie Aubin Pharmacy Ltd,220A King Street,,Sturgeon Falls,P2B1R9,2378737
